Cod. Negocio;Nombre Negocio;Subtipo Negocio;Jerarquia
99740;FONDO DE INVERSIoN COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA ACCION 1525;3;1
99575;FONDO MERCADO DE REDUCCIoN DE EMISIONES - FORE;5;1
99379;FONDO DE CAPITAL PRIVADO PLENTIA INVERSIONES COMPARTIMENTO V PP3;5;2
99377;FONDO DE CAPITAL PRIVADO PLENTIA INVERSIONES COMPARTIMENTO IV ARGO ;5;2
99251;COMPARTIMENTO ASIS INVEST - FONDO DE CAPITAL PRIVADO LA MONTERA;5;2
99250;COMPARTIMENTO NANTES INVERSIONES - FONDO DE CAPITAL PRIVADO LA MONTERA;5;2
99187;FONDO DE CAPITAL PRIVADO PLENTIA INVERSIONES - COMPARTIMENTO III RAIZ;5;2
99106;CREDICORP CAPITAL ACCIONES LATAM;3;1
98414;FCP. Cattleya Compatimento 4;5;2
98186;FIC BBVA Valores Money Market;2;1
9792;FONDO DE INVERSION COLECTIVA DAVIPLUS RENTA FIJA PESOS ;3;1
97588; FONDO DE INVERSIoN COLECTIVA CERRADO SENTENCIAS NACIoN ALIANZA;3;1
97466;FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA;3;1
97207;Fondo de Inversion Colectiva con Pacto de Permanencia Skandia Dinamico;3;1
96938;Fondo de Capital Privado Cattleya Compatimento 3;5;2
96832;FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA MINIMA ALIANZA RENTA FIJA HIGH YIELD;3;1
96710;FCP NEXUS COMP NEXUS DESARROLLOS INMOBILIARIOS II;5;1
96583;Fondo de Capital Privado Next Utility Ventures;5;1
9645;F.I.C. CON PACTO DE PERMANENCIA CAPITAL PLUS;3;1
96346;FONDO DE CAPITAL PRIVADO PLENTIA INVERSIONES - COMPARTIMENTO II - INVERLOJA;5;2
96092;FONDO DE CAPITAL PRIVADO COLPATRIA INTERNACIONAL;5;1
95754;FCP CARTAMA - COMPARTIMENTO GLOBAL;5;2
95663;FONDO DE CAPITAL PRIVADO INMOBILIARIO PENNY LANE CAPITAL COMPARTIMENTO I;5;1
95589;FONDO DE INVERSION COLECTIVA CERRADO ASHMORE ACCIONES COLOMBIA + LATAM;3;1
95409;FONDO DE INVERSIoN COLECTIVA CERRADO SURA LIBRANZAS I;3;1
95356;CERRADO FACTURAS 120;3;1
