Cod Transaccion;Num. unidades;Valor unidad para las operaciones del dia t;Valor fondo al cierre del dia t;Num. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. ano
1;3330882.556;30630.49;102026548426.12;4914;8.608626;9.40244;16.11005;14.26083
2;0;10000.00;0.00;0;0.0;0.0;0.0;0.0
3;11687439.299;3419.01;39959431701.73;108;9.493028;11.221286;13.139901;12.776468
4;172852823.024;3239.64;559981172810.49;11163;8.566499;10.282351;12.192475;11.858418
5;283269963.729;3435.56;973190298834.63;465;9.547777;11.276809;13.196075;12.841203
6;231472976.774;2977.44;689197094171.24;2153;6.576879;8.266902;10.179891;9.84625
7;68212930.69;3408.63;232512499030.79;93;9.54778;11.276809;13.196074;12.841203
8;29575425.843;3369.62;99657845901.27;17;9.056033;10.778253;12.692188;12.347728
9;2209277.101;3337.43;7373313129.43;14;9.383619;11.110326;13.027635;12.664588
10;104197783.14;3400.28;354301864059.56;49;9.547778;11.27681;13.196075;12.841204
11;116063618.432;3443.83;399703741771.66;125;9.547774;11.276809;13.196074;12.841203
12;38119572.61;3379.80;128836698472.42;41;9.174425;10.478933;14.489965;13.377275
13;25181710.006;3465.04;87255544177.27;111;9.666694;10.976145;14.998449;13.889405
14;4157115.788;3383.91;14067307470.87;26;9.502363;10.810109;14.81233;13.686094
15;19473709.7;2965.30;57745482782.57;49;6.692586;7.978506;11.952457;10.875686
16;29411832.8;3446.19;101358752019.74;177;9.611894;10.920773;14.942628;13.824686
17;72287473.431;3431.80;248076253967.66;69;9.666695;10.976145;14.993492;13.869271
18;254075086.891;3204.84;814269921946.33;29843;8.630036;9.929531;13.926538;12.810718
19;72665376.038;20604.96;1497267459572.35;2364;8.864663;10.448541;13.824971;12.751763
20;11661239.586;22015.56;256728712708.51;250;9.694984;11.352266;14.695632;13.634563
21;10648737.821;21051.45;224171333375.35;26;9.443038;11.086206;14.432333;13.348404
22;1012497.733;19249.74;19490317895.50;3;6.720105;8.448671;11.658505;10.656947
23;54722519.502;8292.88;453807461467.97;153699;9.290912;10.543338;14.264531;12.651072
24;443236.291;10405.05;4611894538.39;352;-10.918639;64.428635;54.484863;28.525993
25;451928.97;16132.99;7290967708.58;3842;1.062985;40.80091;39.231388;15.720665
26;6731279.289;14937.74;100550123505.02;8278;9.497832;6.612995;19.072144;16.486712
27;24676071.061;13873.61;342346098922.81;27034;9.290581;11.428875;14.514871;13.551222
28;79.994;13905.68;1112373.13;5;9.630593;11.804266;14.878497;0.0
29;4137824.285;11876.19;49141578028.90;10189;9.26844;3.422361;21.365005;18.586798
30;758393.817;12248.92;9289501471.12;3443;5.479771;21.880217;23.905043;15.445729
31;417974.578;11495.35;4804762542.44;626;5.021454;11.754826;15.081301;11.684271
32;431480.281;13035.04;5624364619.10;2120;4.598573;19.872873;28.579403;18.185177
33;1081087.76;10073.35;10890176011.74;156;9.613809;-20.197498;2.796669;0.657637
34;2849155.705;10868.06;30964786407.74;7541;-0.703328;7.94626;15.872523;0.0
35;1219879.219;10988.16;13404233105.82;5413;0.234006;10.048659;17.121405;0.0
36;416215.183;10637.86;4427639999.19;4880;-1.448236;14.165083;0.0;0.0
37;5419718.035;13154.20;71292050657.20;903;12.951089;13.879578;4.241198;5.510342
38;405018.43;12751.12;5164439870.45;161;-2.405111;6.833808;0.475605;2.468546
39;14862.971;12797.40;190207429.07;1;-2.405109;6.878539;0.487045;2.474891
40;30347.16;50067.47;1519405444.65;3;9.579246;11.575432;14.23153;12.986387
41;870546.137;49194.82;42826363213.74;55;9.254477;11.244763;13.893011;12.651548
42;129271.143;49766.25;6433340040.87;41;9.470776;11.463895;14.080321;12.855687
43;613229.945;49194.82;30167738681.84;14;9.254477;11.244763;13.893011;12.651548
44;1383189.386;47502.01;65674304450.68;3554;8.610666;10.589077;13.221632;11.98754
45;1445959.281;48339.88;69897504307.68;87;8.931623;10.916027;13.556478;12.318678
46;19538835.281;48434.66;946284371868.91;105358;8.931623;10.916009;13.602726;12.391843
47;9141259.31;14127.30;129293508520.99;70567;8.33503;5.300469;15.754175;13.936776
48;3014965.271;19003.00;57293394002.12;5091;9.21756;10.614264;15.771249;13.896516
49;87363989.779;3534.52;308790017591.62;6655;8.823719;10.783204;13.9599;12.835347
50;118457.483;11328.06;1341893849.63;12;7.239112;9.170149;12.300673;11.141989
51;29053953.73;3721.01;108110083495.76;104;9.579307;11.552344;14.751033;13.618694
52;102114.949;13256.68;1353704979.64;14;9.906297;11.885193;15.093399;13.957695
53;8442365.18;3533.74;29833148245.12;1;8.823727;10.783203;13.959897;12.835345
54;16284.129;11918.28;194078775.46;18;9.383955;11.353304;14.546226;13.415908
55;37137704.629;3711.64;137841928272.82;25;9.579301;11.552343;14.751032;13.618694
56;23723352.598;4031.64;95644056371.95;6;10.455678;12.444459;15.668658;14.527288
57;3410010.237;11558.68;39415207812.90;18;10.769739;8.302849;17.347181;15.3966
58;135378.65;16001.68;2166285977.52;1;10.441448;7.981851;16.999453;15.054637
59;18244.241;13733.11;250550109.94;1;10.55066;8.088637;17.115124;15.168393
60;11232660.803;2383.14;26769030710.52;16;10.879606;8.410283;17.463562;15.511051
61;1007729.46;13716.68;13822701187.00;9;10.93461;8.46406;17.521816;15.568339
62;298345.164;13823.06;4124043213.08;45;10.660091;8.195639;17.231043;15.282387
63;617582.964;11501.39;7103063038.10;37;10.223683;7.76892;16.76879;14.82779
64;8265556.976;2815.52;23271839549.99;157;10.44144;7.981853;16.999456;15.054639
65;945939.085;13756.27;13012594301.02;99;10.550676;8.088654;17.11515;15.168415
66;108390.844;11157.56;1209377085.46;1;11.766361;9.277335;18.402811;11.542178
67;108353.003;12358.59;1339090320.51;1;10.989667;8.5179;17.580137;12.072017
68;5145267.869;22129.42;113861784549.57;29;34.44815;19.543695;13.463999;15.39647
69;110052.782;10888.98;1198362247.32;4;3.408788;14.021482;15.390723;6.676222
70;165193.225;10898.73;1800395615.26;8;3.307316;13.909625;15.277526;6.571552
71;100023.193;10476.77;1047919503.40;1;10.462545;10.792335;0.0;0.0
72;779525.315;10481.43;8170540490.72;62;10.353325;10.682788;0.0;0.0
73;28018783.285;23975.43;671762374542.59;1080;11.613594;15.345062;11.406673;9.555636
74;128144.396;26885.41;3445214373.52;1;13.287254;17.074518;13.077239;11.198522
75;5145267.869;22129.42;113861784549.57;29;34.44815;19.543695;13.463999;15.39647
76;2306180.175;12520.15;28873713811.64;2;16.81917;16.246204;21.790043;16.926407
77;1548021.165;12472.47;19307645314.66;355;16.589539;16.017698;21.55067;16.696568
78;441243.525;29640.41;13078639969.59;50;10.634921;9.988286;10.93518;10.645913
79;3847731.032;27688.93;106539550380.92;116;10.100499;9.457027;10.39936;10.111489
80;341868.156;25871.75;8844726032.23;54;9.571169;8.930874;9.868679;9.582187
81;194757.81;22620.35;4405490672.27;16;8.527806;7.893541;8.82244;8.53867
82;265381.401;21219.80;5631339548.94;70;11.719035;11.145742;11.295481;11.340388
83;1311169.05;14464.55;18965469780.62;234;6.680452;8.399449;11.430318;10.576465
84;1110402.353;103527.57;114957255440.89;2;4.44227;2.972768;10.275449;5.86874
85;738870.23;18438.40;13623582220.64;22;12.201921;14.845108;13.630325;12.798395
86;1110402.353;103527.57;114957255440.89;2;4.44227;2.972768;10.275449;5.86874
87;738870.23;18438.40;13623582220.64;22;12.201921;14.845108;13.630325;12.798395
88;2992773.965;87463.03;261757080407.26;16;-12.300834;39.159565;17.605507;23.87089
89;4520376.778;90290.68;408147879837.46;41;9.585158;19.305986;82.2213;51.737015
90;1477433.695;38840.12;57383700388.35;36;21.47233;17.170305;6.575922;9.976917
91;1183550.157;45032.75;53298516983.33;19;-0.83941;-1.005508;4.001007;37.017433
92;6331904.647;59945.70;379570471901.42;42;0.461369;0.489087;0.19358;3.07728
93;13618535.359;21788.87;296732454950.43;150;19.854359;15.099462;9.85012;7.753761
94;2147423.513;13150.69;28240101470.05;30;-2.168325;2.403304;5.654326;24.258566
95;8214895.398;14547.05;119502523571.29;1;11.686678;12.899565;14.353411;13.863809
96;24.309;11848.96;288036.94;1;10.090785;11.286388;12.719518;12.236892
97;584171.106;20072.26;11725633107.38;19;10.036567;11.231581;12.664007;12.181618
98;149608666.886;21350.76;3194258305551.99;489;10.362687;11.561233;12.997893;12.514078
99;1078443.79;11197.16;12075502478.64;2;11.686681;12.899565;14.353411;11.564942
100;183578.148;3394.17;623096225.42;8;10.787894;11.849632;13.898319;13.327685
101;1517595.447;3272.09;4965707302.88;18;10.131853;11.187326;13.223915;12.65665
102;7367882.785;3213.27;23674983446.05;530;9.806731;10.859098;12.889692;12.324097
103;294860343.828;3242.37;956046144243.25;89;9.969049;11.02297;13.056557;12.490128
104;41419709.091;3394.17;140585710365.80;36;10.787894;11.849632;13.898319;13.327685
105;23645466.669;3242.37;76667336625.30;333;9.969049;11.02297;13.056557;12.490128
106;491986.314;3433.12;1689049180.08;38;10.384484;11.857876;13.183714;12.715478
107;31278032.38;3404.40;106482779061.18;126;10.221062;11.692288;13.016168;12.548623
108;23304.875;3423.52;79784590.19;10;10.329948;11.802626;13.12781;12.659805
