Fecha corte;Nombre Entidad;Cód. Negocio;Cod Transacción
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8686;1
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8686;2
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;3
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;4
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;5
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;6
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;7
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;8
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;9
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;10
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8734;11
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8742;12
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8742;13
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8742;14
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8742;15
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8742;16
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8742;17
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;8742;18
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;11962;19
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;11962;20
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;11962;21
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;11962;22
31/03/2024;ACCIONES Y VALORES S.A.;58695;23
31/03/2024;ACCIONES Y VALORES S.A.;58735;24
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;69368;25
31/03/2024;ACCIONES Y VALORES S.A.;80428;26
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;87342;27
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;87342;28
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;95249;29
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;105784;30
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;105786;31
31/03/2024;BBVA ASSET MANAGEMENT S.A. S.F.;105788;32
31/03/2024;ACCIONES Y VALORES S.A.;107027;33
31/03/2024;ACCIONES Y VALORES S.A.;115124;34
31/03/2024;ACCIONES Y VALORES S.A.;115127;35
31/03/2024;ACCIONES Y VALORES S.A.;115128;36
31/03/2024;ACCIONES Y VALORES S.A.;90278;37
31/03/2024;ACCIONES Y VALORES S.A.;99575;38
31/03/2024;ACCIONES Y VALORES S.A.;99575;39
31/03/2024;FIDUCIARIA COLMENA S.A.;10779;40
31/03/2024;FIDUCIARIA COLMENA S.A.;10779;41
31/03/2024;FIDUCIARIA COLMENA S.A.;10779;42
31/03/2024;FIDUCIARIA COLMENA S.A.;10779;43
31/03/2024;FIDUCIARIA COLMENA S.A.;10779;44
31/03/2024;FIDUCIARIA COLMENA S.A.;10779;45
31/03/2024;FIDUCIARIA COLMENA S.A.;10779;46
31/03/2024;FIDUCIARIA COLMENA S.A.;61583;47
31/03/2024;FIDUCIARIA COLMENA S.A.;61653;48
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51953;49
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51953;50
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51953;51
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51953;52
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51953;53
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51953;54
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51953;55
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51953;56
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;57
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;58
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;59
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;60
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;61
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;62
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;63
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;64
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;65
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;66
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51959;67
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;81171;68
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;97207;69
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;97207;70
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;117050;71
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;117050;72
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51968;73
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;51968;74
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;81171;75
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;109571;76
31/03/2024;SKANDIA SOCIEDAD FIDUCIARIA S.A.;109571;77
31/03/2024;ADCAP COLOMBIA S.A.;106809;78
31/03/2024;ADCAP COLOMBIA S.A.;106809;79
31/03/2024;ADCAP COLOMBIA S.A.;106809;80
31/03/2024;ADCAP COLOMBIA S.A.;106809;81
31/03/2024;ADCAP COLOMBIA S.A.;106810;82
31/03/2024;ADCAP COLOMBIA S.A.;106813;83
31/03/2024;ADCAP COLOMBIA S.A.;106814;84
31/03/2024;ADCAP COLOMBIA S.A.;106817;85
31/03/2024;ADCAP COLOMBIA S.A.;106814;86
31/03/2024;ADCAP COLOMBIA S.A.;106817;87
31/03/2024;ADCAP COLOMBIA S.A.;106811;88
31/03/2024;ADCAP COLOMBIA S.A.;106812;89
31/03/2024;ADCAP COLOMBIA S.A.;106816;90
31/03/2024;ADCAP COLOMBIA S.A.;106818;91
31/03/2024;ADCAP COLOMBIA S.A.;106820;92
31/03/2024;ADCAP COLOMBIA S.A.;108402;93
31/03/2024;ADCAP COLOMBIA S.A.;112099;94
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;95
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;96
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;97
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;98
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;99
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;100
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;101
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;102
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;103
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;104
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;105
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11403;106
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11403;107
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11403;108
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11403;109
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11403;110
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;111
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;112
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;113
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;114
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11407;115
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;116
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;117
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;118
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;119
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;120
31/03/2024;FIDUCIARIA LA PREVISORA S.A.;11427;121
31/03/2024;BTG PACTUAL S.A.;58564;122
31/03/2024;BTG PACTUAL S.A.;58564;123
31/03/2024;BTG PACTUAL S.A.;58564;124
31/03/2024;BTG PACTUAL S.A.;58564;125
31/03/2024;BTG PACTUAL S.A.;58564;126
31/03/2024;BTG PACTUAL S.A.;58564;127
31/03/2024;BTG PACTUAL S.A.;58699;128
31/03/2024;BTG PACTUAL S.A.;58699;129
31/03/2024;BTG PACTUAL S.A.;58699;130
31/03/2024;BTG PACTUAL S.A.;58699;131
31/03/2024;BTG PACTUAL S.A.;58877;132
31/03/2024;BTG PACTUAL S.A.;58877;133
31/03/2024;BTG PACTUAL S.A.;58877;134
31/03/2024;BTG PACTUAL S.A.;58877;135
31/03/2024;BTG PACTUAL S.A.;58877;136
31/03/2024;BTG PACTUAL S.A.;60200;137
