Cod Transacción;Núm. unidades;Valor unidad para las operaciones del día t;Valor fondo al cierre del día t;Núm. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. año
1;3,330,882.556;$30,630.49;$102,026,548,426.12;4914;8.608626;9.40244;16.11005;14.26083
2;0;$10,000.00;$0.00;0;0.0;0.0;0.0;0.0
3;11,687,439.299;$3,419.01;$39,959,431,701.73;108;9.493028;11.221286;13.139901;12.776468
4;172,852,823.024;$3,239.64;$559,981,172,810.49;11163;8.566499;10.282351;12.192475;11.858418
5;283,269,963.729;$3,435.56;$973,190,298,834.63;465;9.547777;11.276809;13.196075;12.841203
6;231,472,976.774;$2,977.44;$689,197,094,171.24;2153;6.576879;8.266902;10.179891;9.84625
7;68,212,930.69;$3,408.63;$232,512,499,030.79;93;9.54778;11.276809;13.196074;12.841203
8;29,575,425.843;$3,369.62;$99,657,845,901.27;17;9.056033;10.778253;12.692188;12.347728
9;2,209,277.101;$3,337.43;$7,373,313,129.43;14;9.383619;11.110326;13.027635;12.664588
10;104,197,783.14;$3,400.28;$354,301,864,059.56;49;9.547778;11.27681;13.196075;12.841204
11;116,063,618.432;$3,443.83;$399,703,741,771.66;125;9.547774;11.276809;13.196074;12.841203
12;38,119,572.61;$3,379.80;$128,836,698,472.42;41;9.174425;10.478933;14.489965;13.377275
13;25,181,710.006;$3,465.04;$87,255,544,177.27;111;9.666694;10.976145;14.998449;13.889405
14;4,157,115.788;$3,383.91;$14,067,307,470.87;26;9.502363;10.810109;14.81233;13.686094
15;19,473,709.7;$2,965.30;$57,745,482,782.57;49;6.692586;7.978506;11.952457;10.875686
16;29,411,832.8;$3,446.19;$101,358,752,019.74;177;9.611894;10.920773;14.942628;13.824686
17;72,287,473.431;$3,431.80;$248,076,253,967.66;69;9.666695;10.976145;14.993492;13.869271
18;254,075,086.891;$3,204.84;$814,269,921,946.33;29843;8.630036;9.929531;13.926538;12.810718
19;72,665,376.038;$20,604.96;$1,497,267,459,572.35;2364;8.864663;10.448541;13.824971;12.751763
20;11,661,239.586;$22,015.56;$256,728,712,708.51;250;9.694984;11.352266;14.695632;13.634563
21;10,648,737.821;$21,051.45;$224,171,333,375.35;26;9.443038;11.086206;14.432333;13.348404
22;1,012,497.733;$19,249.74;$19,490,317,895.50;3;6.720105;8.448671;11.658505;10.656947
23;54,722,519.502;$8,292.88;$453,807,461,467.97;153699;9.290912;10.543338;14.264531;12.651072
24;443,236.291;$10,405.05;$4,611,894,538.39;352;-10.918639;64.428635;54.484863;28.525993
25;451,928.97;$16,132.99;$7,290,967,708.58;3842;1.062985;40.80091;39.231388;15.720665
26;6,731,279.289;$14,937.74;$100,550,123,505.02;8278;9.497832;6.612995;19.072144;16.486712
27;24,676,071.061;$13,873.61;$342,346,098,922.81;27034;9.290581;11.428875;14.514871;13.551222
28;79.994;$13,905.68;$1,112,373.13;5;9.630593;11.804266;14.878497;0.0
29;4,137,824.285;$11,876.19;$49,141,578,028.90;10189;9.26844;3.422361;21.365005;18.586798
30;758,393.817;$12,248.92;$9,289,501,471.12;3443;5.479771;21.880217;23.905043;15.445729
31;417,974.578;$11,495.35;$4,804,762,542.44;626;5.021454;11.754826;15.081301;11.684271
32;431,480.281;$13,035.04;$5,624,364,619.10;2120;4.598573;19.872873;28.579403;18.185177
33;1,081,087.76;$10,073.35;$10,890,176,011.74;156;9.613809;-20.197498;2.796669;0.657637
34;2,849,155.705;$10,868.06;$30,964,786,407.74;7541;-0.703328;7.94626;15.872523;0.0
35;1,219,879.219;$10,988.16;$13,404,233,105.82;5413;0.234006;10.048659;17.121405;0.0
36;416,215.183;$10,637.86;$4,427,639,999.19;4880;-1.448236;14.165083;0.0;0.0
37;5,419,718.035;$13,154.20;$71,292,050,657.20;903;12.951089;13.879578;4.241198;5.510342
38;405,018.43;$12,751.12;$5,164,439,870.45;161;-2.405111;6.833808;0.475605;2.468546
39;14,862.971;$12,797.40;$190,207,429.07;1;-2.405109;6.878539;0.487045;2.474891
40;30,347.16;$50,067.47;$1,519,405,444.65;3;9.579246;11.575432;14.23153;12.986387
41;870,546.137;$49,194.82;$42,826,363,213.74;55;9.254477;11.244763;13.893011;12.651548
42;129,271.143;$49,766.25;$6,433,340,040.87;41;9.470776;11.463895;14.080321;12.855687
43;613,229.945;$49,194.82;$30,167,738,681.84;14;9.254477;11.244763;13.893011;12.651548
44;1,383,189.386;$47,502.01;$65,674,304,450.68;3554;8.610666;10.589077;13.221632;11.98754
45;1,445,959.281;$48,339.88;$69,897,504,307.68;87;8.931623;10.916027;13.556478;12.318678
46;19,538,835.281;$48,434.66;$946,284,371,868.91;105358;8.931623;10.916009;13.602726;12.391843
47;9,141,259.31;$14,127.30;$129,293,508,520.99;70567;8.33503;5.300469;15.754175;13.936776
48;3,014,965.271;$19,003.00;$57,293,394,002.12;5091;9.21756;10.614264;15.771249;13.896516
49;87,363,989.779;$3,534.52;$308,790,017,591.62;6655;8.823719;10.783204;13.9599;12.835347
50;118,457.483;$11,328.06;$1,341,893,849.63;12;7.239112;9.170149;12.300673;11.141989
51;29,053,953.73;$3,721.01;$108,110,083,495.76;104;9.579307;11.552344;14.751033;13.618694
52;102,114.949;$13,256.68;$1,353,704,979.64;14;9.906297;11.885193;15.093399;13.957695
53;8,442,365.18;$3,533.74;$29,833,148,245.12;1;8.823727;10.783203;13.959897;12.835345
54;16,284.129;$11,918.28;$194,078,775.46;18;9.383955;11.353304;14.546226;13.415908
55;37,137,704.629;$3,711.64;$137,841,928,272.82;25;9.579301;11.552343;14.751032;13.618694
56;23,723,352.598;$4,031.64;$95,644,056,371.95;6;10.455678;12.444459;15.668658;14.527288
57;3,410,010.237;$11,558.68;$39,415,207,812.90;18;10.769739;8.302849;17.347181;15.3966
58;135,378.65;$16,001.68;$2,166,285,977.52;1;10.441448;7.981851;16.999453;15.054637
59;18,244.241;$13,733.11;$250,550,109.94;1;10.55066;8.088637;17.115124;15.168393
60;11,232,660.803;$2,383.14;$26,769,030,710.52;16;10.879606;8.410283;17.463562;15.511051
61;1,007,729.46;$13,716.68;$13,822,701,187.00;9;10.93461;8.46406;17.521816;15.568339
62;298,345.164;$13,823.06;$4,124,043,213.08;45;10.660091;8.195639;17.231043;15.282387
63;617,582.964;$11,501.39;$7,103,063,038.10;37;10.223683;7.76892;16.76879;14.82779
64;8,265,556.976;$2,815.52;$23,271,839,549.99;157;10.44144;7.981853;16.999456;15.054639
65;945,939.085;$13,756.27;$13,012,594,301.02;99;10.550676;8.088654;17.11515;15.168415
66;108,390.844;$11,157.56;$1,209,377,085.46;1;11.766361;9.277335;18.402811;11.542178
67;108,353.003;$12,358.59;$1,339,090,320.51;1;10.989667;8.5179;17.580137;12.072017
68;5,145,267.869;$22,129.42;$113,861,784,549.57;29;34.44815;19.543695;13.463999;15.39647
69;110,052.782;$10,888.98;$1,198,362,247.32;4;3.408788;14.021482;15.390723;6.676222
70;165,193.225;$10,898.73;$1,800,395,615.26;8;3.307316;13.909625;15.277526;6.571552
71;100,023.193;$10,476.77;$1,047,919,503.40;1;10.462545;10.792335;0.0;0.0
72;779,525.315;$10,481.43;$8,170,540,490.72;62;10.353325;10.682788;0.0;0.0
73;28,018,783.285;$23,975.43;$671,762,374,542.59;1080;11.613594;15.345062;11.406673;9.555636
74;128,144.396;$26,885.41;$3,445,214,373.52;1;13.287254;17.074518;13.077239;11.198522
75;5,145,267.869;$22,129.42;$113,861,784,549.57;29;34.44815;19.543695;13.463999;15.39647
76;2,306,180.175;$12,520.15;$28,873,713,811.64;2;16.81917;16.246204;21.790043;16.926407
77;1,548,021.165;$12,472.47;$19,307,645,314.66;355;16.589539;16.017698;21.55067;16.696568
78;441,243.525;$29,640.41;$13,078,639,969.59;50;10.634921;9.988286;10.93518;10.645913
79;3,847,731.032;$27,688.93;$106,539,550,380.92;116;10.100499;9.457027;10.39936;10.111489
80;341,868.156;$25,871.75;$8,844,726,032.23;54;9.571169;8.930874;9.868679;9.582187
81;194,757.81;$22,620.35;$4,405,490,672.27;16;8.527806;7.893541;8.82244;8.53867
82;265,381.401;$21,219.80;$5,631,339,548.94;70;11.719035;11.145742;11.295481;11.340388
83;1,311,169.05;$14,464.55;$18,965,469,780.62;234;6.680452;8.399449;11.430318;10.576465
84;1,110,402.353;$103,527.57;$114,957,255,440.89;2;4.44227;2.972768;10.275449;5.86874
85;738,870.23;$18,438.40;$13,623,582,220.64;22;12.201921;14.845108;13.630325;12.798395
86;1,110,402.353;$103,527.57;$114,957,255,440.89;2;4.44227;2.972768;10.275449;5.86874
87;738,870.23;$18,438.40;$13,623,582,220.64;22;12.201921;14.845108;13.630325;12.798395
88;2,992,773.965;$87,463.03;$261,757,080,407.26;16;-12.300834;39.159565;17.605507;23.87089
89;4,520,376.778;$90,290.68;$408,147,879,837.46;41;9.585158;19.305986;82.2213;51.737015
90;1,477,433.695;$38,840.12;$57,383,700,388.35;36;21.47233;17.170305;6.575922;9.976917
91;1,183,550.157;$45,032.75;$53,298,516,983.33;19;-0.83941;-1.005508;4.001007;37.017433
